U 70 | F 1146880 | FPS 0425 | D 2670 | rR:μσmM 0.55 0.50 0.00 1.00 | ARPS: 0.020 | ADR: 0.157 | F:μσmM 475.6 478.9 8.0 1000.0 | H 1.909 | V 0.025 | pL 0.002 | vL 0.002 | ∇ 0.032
U 71 | F 1163264 | FPS 0420 | D 2709 | rR:μσmM 0.50 0.50 0.00 1.00 | ARPS: 0.019 | ADR: 0.151 | F:μσmM 521.2 479.4 12.0 1000.0 | H 1.911 | V 0.020 | pL 0.001 | vL 0.002 | ∇ 0.032
U 72 | F 1179648 | FPS 0408 | D 2749 | rR:μσmM 0.41 0.49 0.00 1.00 | ARPS: 0.018 | ADR: 0.159 | F:μσmM 603.0 478.8 13.0 1000.0 | H 1.921 | V 0.013 | pL 0.001 | vL 0.001 | ∇ 0.019
U 73 | F 1196032 | FPS 0412 | D 2789 | rR:μσmM 0.52 0.50 0.00 1.00 | ARPS: 0.022 | ADR: 0.179 | F:μσmM 501.8 483.6 9.0 1000.0 | H 1.908 | V 0.018 | pL -0.001 | vL 0.002 | ∇ 0.027
U 74 | F 1212416 | FPS 0393 | D 2831 | rR:μσmM 0.59 0.49 0.00 1.00 | ARPS: 0.021 | ADR: 0.163 | F:μσmM 432.1 469.5 8.0 1000.0 | H 1.901 | V 0.025 | pL -0.002 | vL 0.003 | ∇ 0.035
U 75 | F 1228800 | FPS 0397 | D 2872 | rR:μσmM 0.53 0.50 0.00 1.00 | ARPS: 0.026 | ADR: 0.202 | F:μσmM 487.2 482.3 9.0 1000.0 | H 1.906 | V 0.022 | pL 0.004 | vL 0.002 | ∇ 0.027
U 76 | F 1245184 | FPS 0379 | D 2915 | rR:μσmM 0.41 0.49 0.00 1.00 | ARPS: 0.018 | ADR: 0.150 | F:μσmM 598.0 478.5 10.0 1000.0 | H 1.915 | V 0.017 | pL 0.002 | vL 0.002 | ∇ 0.025
U 77 | F 1261568 | FPS 0386 | D 2958 | rR:μσmM 0.53 0.50 0.00 1.00 | ARPS: 0.025 | ADR: 0.189 | F:μσmM 506.5 471.8 9.0 1000.0 | H 1.910 | V 0.019 | pL 0.000 | vL 0.002 | ∇ 0.027
U 78 | F 1277952 | FPS 0389 | D 3000 | rR:μσmM 0.48 0.50 0.00 1.00 | ARPS: 0.019 | ADR: 0.164 | F:μσmM 533.8 482.9 12.0 1000.0 | H 1.912 | V 0.017 | pL -0.000 | vL 0.002 | ∇ 0.027
U 79 | F 1294336 | FPS 0391 | D 3042 | rR:μσmM 0.54 0.50 0.00 1.00 | ARPS: 0.021 | ADR: 0.162 | F:μσmM 494.9 475.2 9.0 1000.0 | H 1.912 | V 0.020 | pL -0.003 | vL 0.002 | ∇ 0.030
U 80 | F 1310720 | FPS 0400 | D 3083 | rR:μσmM 0.54 0.50 0.00 1.00 | ARPS: 0.024 | ADR: 0.195 | F:μσmM 486.5 477.7 9.0 1000.0 | H 1.907 | V 0.024 | pL 0.001 | vL 0.002 | ∇ 0.030
U 81 | F 1327104 | FPS 0402 | D 3124 | rR:μσmM 0.52 0.50 0.00 1.00 | ARPS: 0.018 | ADR: 0.143 | F:μσmM 508.7 475.9 13.0 1000.0 | H 1.911 | V 0.021 | pL 0.002 | vL 0.003 | ∇ 0.029
U 82 | F 1343488 | FPS 0399 | D 3165 | rR:μσmM 0.50 0.50 0.00 1.00 | ARPS: 0.017 | ADR: 0.139 | F:μσmM 525.9 475.9 12.0 1000.0 | H 1.913 | V 0.021 | pL 0.003 | vL 0.002 | ∇ 0.026
U 83 | F 1359872 | FPS 0391 | D 3206 | rR:μσmM 0.48 0.50 0.00 1.00 | ARPS: 0.016 | ADR: 0.129 | F:μσmM 555.4 470.1 10.0 1000.0 | H 1.911 | V 0.021 | pL 0.003 | vL 0.002 | ∇ 0.026
U 84 | F 1376256 | FPS 0371 | D 3251 | rR:μσmM 0.52 0.50 0.00 1.00 | ARPS: 0.023 | ADR: 0.191 | F:μσmM 532.1 475.5 11.0 1000.0 | H 1.909 | V 0.022 | pL 0.002 | vL 0.002 | ∇ 0.026
U 85 | F 1392640 | FPS 0379 | D 3294 | rR:μσmM 0.56 0.50 0.00 1.00 | ARPS: 0.018 | ADR: 0.142 | F:μσmM 479.8 467.2 12.0 1000.0 | H 1.907 | V 0.021 | pL -0.001 | vL 0.003 | ∇ 0.030
U 86 | F 1409024 | FPS 0404 | D 3334 | rR:μσmM 0.52 0.50 0.00 1.00 | ARPS: 0.024 | ADR: 0.197 | F:μσmM 507.5 479.2 12.0 1000.0 | H 1.912 | V 0.018 | pL -0.001 | vL 0.002 | ∇ 0.030
U 87 | F 1425408 | FPS 0406 | D 3375 | rR:μσmM 0.52 0.50 0.00 1.00 | ARPS: 0.020 | ADR: 0.158 | F:μσmM 519.5 471.8 10.0 1000.0 | H 1.918 | V 0.018 | pL -0.001 | vL 0.002 | ∇ 0.029
U 88 | F 1441792 | FPS 0388 | D 3417 | rR:μσmM 0.73 0.44 0.00 1.00 | ARPS: 0.033 | ADR: 0.259 | F:μσmM 333.3 426.6 9.0 1000.0 | H 1.892 | V 0.037 | pL -0.006 | vL 0.005 | ∇ 0.043
U 89 | F 1458176 | FPS 0420 | D 3456 | rR:μσmM 0.76 0.42 0.00 1.00 | ARPS: 0.031 | ADR: 0.261 | F:μσmM 277.6 416.3 9.0 1000.0 | H 1.889 | V 0.038 | pL -0.010 | vL 0.004 | ∇ 0.043
U 90 | F 1474560 | FPS 0407 | D 3496 | rR:μσmM 0.62 0.48 0.00 1.00 | ARPS: 0.019 | ADR: 0.148 | F:μσmM 445.7 452.4 11.0 1000.0 | H 1.899 | V 0.031 | pL 0.001 | vL 0.003 | ∇ 0.041
U 91 | F 1490944 | FPS 0401 | D 3537 | rR:μσmM 0.73 0.45 0.00 1.00 | ARPS: 0.022 | ADR: 0.162 | F:μσmM 328.3 417.9 9.0 1000.0 | H 1.885 | V 0.041 | pL -0.004 | vL 0.004 | ∇ 0.043
U 92 | F 1507328 | FPS 0366 | D 3582 | rR:μσmM 0.84 0.37 0.00 1.00 | ARPS: 0.024 | ADR: 0.187 | F:μσmM 236.3 348.1 10.0 1000.0 | H 1.851 | V 0.065 | pL -0.012 | vL 0.006 | ∇ 0.050
U 93 | F 1523712 | FPS 0422 | D 3621 | rR:μσmM 0.75 0.43 0.00 1.00 | ARPS: 0.027 | ADR: 0.220 | F:μσmM 278.2 412.8 10.0 1000.0 | H 1.886 | V 0.042 | pL -0.008 | vL 0.004 | ∇ 0.044
U 94 | F 1540096 | FPS 0418 | D 3660 | rR:μσmM 0.90 0.30 0.00 1.00 | ARPS: 0.031 | ADR: 0.259 | F:μσmM 149.2 295.8 11.0 1000.0 | H 1.825 | V 0.089 | pL -0.013 | vL 0.006 | ∇ 0.066
